Rank,Gene_Index,Gene_Name,Score
1,4,DIFF_GENE_4,0.9491860467582621
2,1,DIFF_GENE_1,0.9416729866464044
3,3,DIFF_GENE_3,0.9260239038770973
4,0,DIFF_GENE_0,0.9137021144544625
5,2,DIFF_GENE_2,0.5288161993352891
6,17,STABLE_GENE_17,0.132173935146167
7,19,STABLE_GENE_19,0.10772156293764722
8,18,STABLE_GENE_18,0.09483210289780866
9,16,STABLE_GENE_16,0.09103033478462588
10,5,STABLE_GENE_5,0.0823186815065093
11,11,STABLE_GENE_11,0.08013792882756127
12,15,STABLE_GENE_15,0.07993966324031142
13,7,STABLE_GENE_7,0.07554617972270114
14,9,STABLE_GENE_9,0.07240748949829408
15,8,STABLE_GENE_8,0.06916251111761723
16,13,STABLE_GENE_13,0.06795046759127679
17,6,STABLE_GENE_6,0.06061417652654507
18,14,STABLE_GENE_14,0.0541722738473199
19,10,STABLE_GENE_10,0.05060204615396353
20,12,STABLE_GENE_12,0.033511745372197026
